fuel_type,aspirations,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,num_of_cylinders,engine_size,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price
gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905,four,91,9,68,5000,31,38,6795.00
gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1950,four,91,9,68,5000,31,38,7395.00
gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,four,90,9.4,68,5500,31,38,7609.00
gas,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,2191,four,98,9.4,68,5500,31,38,7609.00
diesel,turbo,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2319,four,97,23,68,4500,37,42,9495.00
diesel,turbo,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2579,four,97,23,68,4500,33,38,13845.00
gas,std,two,hatchback,fwd,front,93.7,156.9,63.4,53.7,2050,four,97,9,69,4900,31,36,5118.00
gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1889,four,97,9.4,69,5200,31,37,5499.00
gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1918,four,97,9.4,69,5200,31,37,6649.00
gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1938,four,97,9.4,69,5200,31,37,6849.00
gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1951,four,97,9.4,69,5200,31,37,7299.00
gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,four,97,9.4,69,5200,31,37,7349.00
gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1971,four,97,9.4,69,5200,31,37,7499.00
gas,std,two,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028,four,97,9.4,69,5200,31,37,7799.00
gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2037,four,97,9.4,69,5200,31,37,7999.00
gas,std,two,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008,four,97,9.4,69,5200,31,37,8249.00
gas,std,two,hatchback,fwd,front,94.5,155.9,63.6,52,1874,four,90,9.6,70,5400,38,43,6295.00
gas,std,four,sedan,fwd,front,94.5,158.8,63.6,52,1909,four,90,9.6,70,5400,38,43,6575.00
gas,std,four,sedan,fwd,front,95.7,166.3,64.4,53,2081,four,98,9,70,4800,30,37,6938.00
gas,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2109,four,98,9,70,4800,30,37,7198.00
gas,std,four,sedan,fwd,front,95.7,166.3,64.4,53,2094,four,98,9,70,4800,38,47,7738.00
gas,std,two,sedan,rwd,front,94.5,168.7,64,52.6,2169,four,98,9,70,4800,29,34,8058.00
gas,std,two,hatchback,rwd,front,94.5,168.7,64,52.6,2204,four,98,9,70,4800,29,34,8238.00
gas,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2122,four,98,9,70,4800,28,34,8358.00
gas,std,four,sedan,fwd,front,95.7,166.3,64.4,52.8,2140,four,98,9,70,4800,28,34,9258.00
diesel,std,four,sedan,rwd,front,104.9,175,66.1,54.4,2700,four,134,22,72,4200,31,39,18344.00
gas,std,two,hatchback,fwd,front,93.7,157.9,63.6,53.7,2120,four,108,8.7,73,4400,26,31,7053.00
gas,std,two,hatchback,4wd,front,93.3,157.3,63.8,55.7,2240,four,108,8.7,73,4400,26,31,7603.00
diesel,turbo,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2480,four,110,22.5,73,4500,30,33,10698.00
gas,std,two,hatchback,fwd,front,93.7,150,64,52.6,1940,four,92,9.2,76,6000,30,34,6529.00
gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819,four,92,9.2,76,6000,31,38,6855.00
gas,std,two,hatchback,fwd,front,93.7,150,64,52.6,1956,four,92,9.2,76,6000,30,34,7129.00
gas,std,four,sedan,fwd,front,96.5,163.4,64,54.5,2010,four,92,9.2,76,6000,30,34,7295.00
gas,std,four,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,four,92,9.2,76,6000,30,34,7295.00
gas,std,four,sedan,rwd,front,94.3,170.7,61.8,53.5,2337,four,111,8.5,78,4800,24,29,6785.00
gas,std,four,sedan,fwd,front,97.2,172,65.4,52.5,2145,four,108,9.5,82,4800,32,37,7126.00
gas,std,four,wagon,fwd,front,97,173.5,65.4,53,2290,four,108,9,82,4800,28,32,7463.00
gas,std,four,sedan,fwd,front,97.2,172,65.4,52.5,2190,four,108,9.5,82,4400,28,33,7775.00
gas,std,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2420,four,108,9,82,4800,23,29,8013.00
gas,std,four,sedan,4wd,front,97,172,65.4,54.3,2385,four,108,9,82,4800,24,25,9233.00
gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,four,122,8.6,84,4800,26,32,8495.00
gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,four,122,8.6,84,4800,26,32,8845.00
gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,four,122,8.6,84,4800,26,32,10245.00
gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,four,122,8.6,84,4800,26,32,10595.00
gas,std,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,four,122,8.6,84,4800,26,32,11245.00
gas,std,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2209,four,109,9,85,5250,27,34,7975.00
gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2212,four,109,9,85,5250,27,34,8195.00
gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2275,four,109,9,85,5250,27,34,8495.00
gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,four,110,9,86,5800,27,33,7895.00
gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,four,110,9,86,5800,27,33,8845.00
gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,four,110,9,86,5800,27,33,9095.00
gas,std,four,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,four,110,9,86,5800,27,33,10295.00
gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2365,four,122,8.5,88,5000,25,32,6989.00
gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2405,four,122,8.5,88,5000,25,32,8189.00
gas,std,two,hatchback,fwd,front,96.3,173,65.4,49.4,2328,four,122,8.5,88,5000,25,32,8499.00
gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,four,122,8.5,88,5000,24,30,8921.00
gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,four,122,8.5,88,5000,24,30,8921.00
gas,std,four,wagon,fwd,front,100.4,183.1,66.9,55.1,2563,four,109,9,88,5500,25,31,12290.00
gas,std,two,hatchback,fwd,front,94.5,165.7,64,51.4,2221,four,109,8.5,90,5500,24,29,9980.00
gas,std,two,hatchback,rwd,front,96,172.6,65.2,51.4,2734,four,119,9.2,90,5000,24,29,11048.00
gas,std,two,convertible,fwd,front,94.5,159.3,64.2,55.6,2254,four,109,8.5,90,5500,24,29,11595.00
gas,std,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2326,four,122,8.7,92,4200,29,34,8948.00
gas,std,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2414,four,122,8.7,92,4200,27,32,9988.00
gas,std,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2414,four,122,8.7,92,4200,27,32,10898.00
gas,std,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2458,four,122,8.7,92,4200,27,32,11248.00
gas,std,four,sedan,fwd,front,97.2,172,65.4,52.5,2340,four,108,9,94,5200,26,32,9960.00
gas,std,four,wagon,fwd,front,97,173.5,65.4,53,2455,four,108,9,94,5200,25,31,10198.00
diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3197,four,152,21,95,4150,28,33,13200.00
diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3430,four,152,21,95,4150,25,25,13860.00
gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,four,120,8.4,95,5000,19,24,15580.00
gas,std,four,wagon,rwd,front,114.2,198.9,68.4,56.7,3285,four,120,8.4,95,5000,19,24,16695.00
diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,four,152,21,95,4150,28,33,16900.00
diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3485,four,152,21,95,4150,25,25,17075.00
diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,four,152,21,95,4150,28,33,17950.00
gas,std,four,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324,four,120,8.5,97,5200,27,34,8949.00
gas,std,four,sedan,fwd,front,97.2,173.4,65.2,54.7,2302,four,120,8.5,97,5200,27,34,9549.00
gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3020,four,120,8.4,97,5000,19,24,11900.00
gas,std,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3230,four,120,8.4,97,5000,19,24,12440.00
gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,four,120,8.4,97,5000,19,24,16630.00
gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2300,four,109,10,100,5500,26,32,9995.00
gas,std,two,sedan,fwd,front,96.5,169.1,66,51,2293,four,110,9.1,100,5500,25,31,10345.00
gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,four,110,9,101,5800,24,28,12945.00
gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,four,108,8.8,101,5800,23,29,16430.00
gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,four,108,8.8,101,5800,23,29,16925.00
gas,turbo,two,hatchback,fwd,front,93,157.3,63.8,50.8,2145,four,98,7.6,102,5500,24,30,7689.00
gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,four,98,7.6,102,5500,24,30,7957.00
gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,four,98,7.6,102,5500,24,30,7957.00
gas,std,four,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,four,109,10,102,5500,24,30,13950.00
diesel,turbo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3217,six,145,23,106,4800,26,27,22470.00
gas,std,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2661,five,136,8.5,110,5500,19,24,13295.00
gas,std,two,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,five,136,8.5,110,5500,19,25,15250.00
gas,std,four,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,five,136,8.5,110,5500,19,25,17710.00
gas,std,four,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,five,136,8.5,110,5500,19,25,18920.00
gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2658,four,121,9.31,110,5250,21,28,11850.00
gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2695,four,121,9.3,110,5250,21,28,12170.00
gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707,four,121,9.3,110,5250,21,28,15040.00
gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2758,four,121,9.3,110,5250,21,28,15510.00
gas,turbo,four,sedan,4wd,front,97,172,65.4,54.3,2510,four,108,7.7,111,4800,24,29,11259.00
gas,turbo,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2650,four,108,7.7,111,4800,23,23,11694.00
gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,four,130,9,111,5000,21,27,13495.00
gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,four,130,9,111,5000,21,27,16500.00
gas,std,two,sedan,rwd,front,94.5,168.7,64,52.6,2265,four,98,9.4,112,6600,26,29,9298.00
gas,std,two,hatchback,rwd,front,94.5,168.7,64,52.6,2300,four,98,9.4,112,6600,26,29,9538.00
gas,std,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2912,four,141,9.5,114,5400,23,28,12940.00
gas,std,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3034,four,141,9.5,114,5400,23,28,13415.00
gas,std,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2935,four,141,9.5,114,5400,24,28,15985.00
gas,std,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3042,four,141,9.5,114,5400,24,28,16515.00
gas,std,four,sedan,rwd,front,109.1,188.8,68.9,55.5,2952,four,141,9.5,114,5400,23,28,16845.00
gas,turbo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3062,four,141,9.5,114,5400,19,25,22625.00
gas,std,four,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,five,136,8,115,5500,18,22,17450.00
gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52,2540,four,146,9.3,116,4800,24,30,8449.00
gas,turbo,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,four,110,7.5,116,5500,23,30,9279.00
gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,four,110,7.5,116,5500,23,30,9279.00
gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52,2536,four,146,9.3,116,4800,24,30,9639.00
gas,turbo,two,hatchback,fwd,front,96.3,173,65.4,49.4,2370,four,110,7.5,116,5500,23,30,9959.00
gas,std,two,hatchback,rwd,front,98.4,176.2,65.6,52,2551,four,146,9.3,116,4800,24,30,9989.00
gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52,2679,four,146,9.3,116,4800,24,30,11199.00
gas,std,two,hatchback,rwd,front,98.4,176.2,65.6,52,2714,four,146,9.3,116,4800,24,30,11549.00
gas,std,two,convertible,rwd,front,98.4,176.2,65.6,53,2975,four,146,9.3,116,4800,24,30,17669.00
gas,std,four,sedan,rwd,front,104.9,175,66.1,54.4,2670,four,140,8,120,5000,19,27,18280.00
gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,six,164,9,121,4250,21,28,20970.00
gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,six,164,9,121,4250,21,28,21105.00
gas,std,four,sedan,rwd,front,103.5,189,66.9,55.7,3055,six,164,9,121,4250,20,25,24565.00
diesel,turbo,four,sedan,rwd,front,110,190.9,70.3,56.5,3515,five,183,21.5,123,4350,22,25,25552.00
diesel,turbo,two,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495,five,183,21.5,123,4350,22,25,28176.00
diesel,turbo,four,wagon,rwd,front,110,190.9,70.3,58.7,3750,five,183,21.5,123,4350,22,25,28248.00
diesel,turbo,four,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,five,183,21.5,123,4350,22,25,31600.00
gas,std,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3012,six,173,8.8,134,5500,18,23,21485.00
gas,turbo,four,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,five,131,8.3,140,5500,17,20,23875.00
gas,turbo,four,sedan,rwd,front,108,186.7,68.3,56,3130,four,134,7,142,5600,18,24,18150.00
gas,std,two,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778,four,151,9.5,143,5500,19,27,22018.00
gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833,four,156,7,145,5000,19,24,12629.00
gas,turbo,two,hatchback,rwd,front,95.9,173.2,66.3,50.2,2818,four,156,7,145,5000,19,24,12764.00
gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,four,156,7,145,5000,19,24,12964.00
gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926,four,156,7,145,5000,19,24,14489.00
gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921,four,156,7,145,5000,19,24,14869.00
gas,std,four,sedan,fwd,front,100.4,181.7,66.5,55.1,3095,six,181,9,152,5200,17,22,13499.00
gas,std,four,sedan,fwd,front,100.4,184.6,66.5,55.1,3060,six,181,9,152,5200,19,25,13499.00
gas,std,four,wagon,fwd,front,100.4,184.6,66.5,56.1,3296,six,181,9,152,5200,17,22,14399.00
gas,std,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,six,152,9,154,5000,19,26,16500.00
gas,std,four,sedan,rwd,front,115.6,202.6,71.7,56.5,3740,eight,234,8.3,155,4750,16,18,34184.00
gas,std,two,convertible,rwd,front,96.6,180.3,70.5,50.8,3685,eight,234,8.3,155,4750,16,18,35056.00
gas,std,four,sedan,rwd,front,104.5,187.8,66.5,54.1,3131,six,171,9.2,156,5200,20,24,15690.00
gas,std,four,wagon,rwd,front,104.5,187.8,66.5,54.1,3151,six,161,9.2,156,5200,19,24,15750.00
gas,turbo,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2808,four,121,9,160,5500,19,26,18150.00
gas,turbo,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2847,four,121,9,160,5500,19,26,18620.00
gas,turbo,four,sedan,rwd,front,109.1,188.8,68.8,55.5,3049,four,141,8.7,160,5300,19,25,19045.00
gas,std,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071,six,181,9,160,5200,19,25,17199.00
gas,std,two,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139,six,181,9,160,5200,19,25,18399.00
gas,std,two,hatchback,rwd,front,102.9,183.5,67.7,52,3016,six,171,9.3,161,5200,19,24,15998.00
gas,std,two,hatchback,rwd,front,102.9,183.5,67.7,52,2976,six,171,9.3,161,5200,20,24,16558.00
gas,turbo,four,sedan,rwd,front,104.3,188.8,67.2,56.2,3045,four,130,7.5,162,5100,17,22,18420.00
gas,turbo,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3157,four,130,7.5,162,5100,17,22,18950.00
gas,turbo,two,hatchback,rwd,front,102.7,178.4,68,54.8,2910,four,140,8,175,5000,19,24,16503.00
gas,std,four,sedan,rwd,front,113,199.6,69.6,52.8,4066,six,258,8.1,176,4750,15,19,32250.00
gas,std,four,sedan,rwd,front,113,199.6,69.6,52.8,4066,six,258,8.1,176,4750,15,19,35550.00
gas,std,four,sedan,rwd,front,103.5,189,66.9,55.7,3230,six,209,8,182,5400,16,22,30760.00
gas,std,four,sedan,rwd,front,110,197,70.9,56.3,3505,six,209,8,182,5400,15,20,36880.00
gas,std,two,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,six,209,8,182,5400,16,22,41315.00
gas,std,four,sedan,rwd,front,120.9,208.1,71.7,56.7,3900,eight,308,8,184,4500,14,16,40960.00
gas,std,two,hardtop,rwd,front,112,199.2,72,55.4,3715,eight,304,8,184,4500,14,16,45400.00
gas,turbo,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139,six,181,7.8,200,5200,17,23,19699.00
gas,std,two,hardtop,rwd,rear,89.5,168.9,65,51.6,2756,six,194,9.5,207,5900,17,25,32528.00
gas,std,two,hardtop,rwd,rear,89.5,168.9,65,51.6,2756,six,194,9.5,207,5900,17,25,34028.00
gas,std,two,convertible,rwd,rear,89.5,168.9,65,51.6,2800,six,194,9.5,207,5900,17,25,37028.00
