instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,count
351,2011-12-17,Fall,0,12,0,6,0,2,0.258333,0.249371,0.560833,0.243167,275,2464,2739
367,2012-01-02,Winter,1,1,1,1,0,1,0.273043,0.252304,0.381304,0.329665,244,1707,1951
428,2012-03-03,Winter,1,3,0,6,0,2,0.414167,0.413492,0.62125,0.161079,956,3110,4066
545,2012-06-28,Summer,1,6,0,4,1,1,0.749167,0.675512,0.4225,0.17165,921,5958,6879
208,2011-07-27,Summer,0,7,0,3,1,1,0.775,0.690667,0.402917,0.183463,755,3901,4656
46,2011-02-15,Winter,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140,1675,1815
633,2012-09-24,Fall,1,9,0,1,1,1,0.514167,0.502513,0.492917,0.142404,1001,6435,7436
598,2012-08-20,Summer,1,8,0,1,1,2,0.635833,0.595967,0.734167,0.129979,1026,5504,6530
330,2011-11-26,Fall,0,11,0,6,0,1,0.375833,0.385087,0.681667,0.0684208,1249,1819,3068
30,2011-01-30,Winter,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096
514,2012-05-28,Spring,1,5,1,1,0,1,0.7125,0.6793,0.67625,0.196521,2557,3486,6043
90,2011-03-31,Spring,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179,1506,1685
393,2012-01-28,Winter,1,1,0,6,0,1,0.315833,0.326379,0.543333,0.210829,775,3248,4023
490,2012-05-04,Spring,1,5,0,5,1,1,0.6275,0.590917,0.735417,0.162938,1069,5227,6296
439,2012-03-14,Winter,1,3,0,3,1,1,0.5725,0.548617,0.507083,0.115062,997,5315,6312
239,2011-08-27,Summer,0,8,0,6,0,2,0.68,0.635556,0.85,0.375617,226,889,1115
688,2012-11-18,Fall,1,11,0,0,0,1,0.3425,0.337746,0.692917,0.227612,922,3747,4669
516,2012-05-30,Spring,1,5,0,3,1,2,0.656667,0.611129,0.67,0.134329,745,6110,6855
374,2012-01-09,Winter,1,1,0,1,1,2,0.224167,0.247479,0.701667,0.0989,106,2270,2376
539,2012-06-22,Summer,1,6,0,5,1,1,0.7775,0.724121,0.57375,0.182842,964,4859,5823
564,2012-07-17,Summer,1,7,0,2,1,1,0.818333,0.755683,0.505833,0.114429,921,5865,6786
697,2012-11-27,Fall,1,11,0,2,1,2,0.291667,0.281558,0.786667,0.237562,123,3836,3959
4,2011-01-04,Winter,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562
551,2012-07-04,Summer,1,7,1,3,0,1,0.789167,0.732337,0.53875,0.13495,2562,4841,7403
414,2012-02-18,Winter,1,2,0,6,0,1,0.346667,0.355425,0.534583,0.190929,1435,2883,4318
446,2012-03-21,Spring,1,3,0,3,1,2,0.531667,0.513258,0.82125,0.0895583,1122,5108,6230
708,2012-12-08,Fall,1,12,0,6,0,2,0.381667,0.389508,0.91125,0.101379,1153,4429,5582
513,2012-05-27,Spring,1,5,0,0,0,1,0.69,0.641425,0.697083,0.215171,3283,3308,6591
130,2011-05-10,Spring,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,694,4109,4803
203,2011-07-22,Summer,0,7,0,5,1,1,0.848333,0.840896,0.580417,0.1331,562,2825,3387
255,2011-09-12,Summer,0,9,0,1,1,1,0.644348,0.60213,0.692174,0.088913,690,4023,4713
289,2011-10-16,Fall,0,10,0,0,0,1,0.511667,0.503154,0.486667,0.281717,1748,3293,5041
535,2012-06-18,Spring,1,6,0,1,1,2,0.568333,0.544842,0.777917,0.174746,653,4446,5099
291,2011-10-18,Fall,0,10,0,2,1,2,0.5325,0.522721,0.701667,0.110087,637,4111,4748
699,2012-11-29,Fall,1,11,0,4,1,1,0.28087,0.298422,0.555652,0.115522,243,5080,5323
450,2012-03-25,Spring,1,3,0,0,0,2,0.4375,0.437488,0.880833,0.220775,1532,3464,4996
245,2011-09-02,Summer,0,9,0,5,1,2,0.643333,0.604808,0.727083,0.139929,875,3852,4727
320,2011-11-16,Fall,0,11,0,3,1,3,0.456667,0.451988,0.93,0.136829,145,1672,1817
624,2012-09-15,Summer,1,9,0,6,0,1,0.608333,0.585867,0.501667,0.247521,3160,5554,8714
259,2011-09-16,Summer,0,9,0,5,1,2,0.469167,0.461475,0.590417,0.164183,742,4018,4760
528,2012-06-11,Spring,1,6,0,1,1,2,0.720833,0.659721,0.587917,0.207713,1017,5647,6664
214,2011-08-02,Summer,0,8,0,2,1,1,0.783333,0.707071,0.49125,0.20585,801,4044,4845
707,2012-12-07,Fall,1,12,0,5,1,2,0.320833,0.321958,0.764167,0.1306,349,4659,5008
622,2012-09-13,Summer,1,9,0,4,1,1,0.6125,0.579558,0.637083,0.0827208,1054,6750,7804
316,2011-11-12,Fall,0,11,0,6,0,1,0.356667,0.357942,0.552917,0.212062,1275,2792,4067
98,2011-04-08,Spring,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471
224,2011-08-12,Summer,0,8,0,5,1,1,0.708333,0.654042,0.415,0.125621,1051,3854,4905
655,2012-10-16,Fall,1,10,0,2,1,1,0.468333,0.460846,0.558333,0.182221,922,6612,7534
722,2012-12-22,Winter,1,12,0,6,0,1,0.265833,0.236113,0.44125,0.407346,205,1544,1749
35,2011-02-04,Winter,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88,1620,1708
543,2012-06-26,Summer,1,6,0,2,1,1,0.630833,0.594704,0.373333,0.347642,1077,6365,7442
593,2012-08-15,Summer,1,8,0,3,1,1,0.706667,0.654037,0.619583,0.169771,1198,6149,7347
657,2012-10-18,Fall,1,10,0,4,1,2,0.5225,0.512625,0.728333,0.236937,1008,6501,7509
517,2012-05-31,Spring,1,5,0,4,1,1,0.68,0.631329,0.492917,0.195279,1100,6238,7338
692,2012-11-22,Fall,1,11,1,4,0,1,0.34,0.350371,0.580417,0.0528708,955,1470,2425
666,2012-10-27,Fall,1,10,0,6,0,2,0.53,0.515133,0.72,0.235692,2643,5209,7852
581,2012-08-03,Summer,1,8,0,5,1,2,0.765833,0.722867,0.6425,0.215792,1328,5847,7175
