verified_income,debt_to_income,bankruptcy,term,credit_util,interest_rate,debt_inc_cent,term_cent,credit_util_cent
Source Verified,28.3,0,60,0.4550545416781502,20.39,8.988011830759977,16.725887306998196,0.05194850803208961
Not Verified,13.82,0,60,0.11033048294041423,9.93,-5.491988169240024,16.725887306998196,-0.2927755507056463
Source Verified,0,0,36,0.0030263157894736843,6.08,-19.311988169240024,-7.274112693001804,-0.40007971785658686
Source Verified,10.59,0,36,0.9175172413793103,21.45,-8.721988169240024,-7.274112693001804,0.5144112077332498
Verified,17.06,0,60,0.08237063762034269,15.04,-2.2519881692400254,16.725887306998196,-0.3207353960257179
Not Verified,18.53,0,36,0.6207172038129823,10.42,-0.781988169240023,-7.274112693001804,0.21761117016692177
Source Verified,7.1,0,36,0.24626461799101154,12.61,-12.211988169240025,-7.274112693001804,-0.15684141565504903
Not Verified,24.79,1,60,0.535207024188689,18.06,5.478011830759975,16.725887306998196,0.13210099054262847
Source Verified,15.72,0,60,0.6600504625735912,11.99,-3.5919881692400235,16.725887306998196,0.25694442892753067
Source Verified,14.82,0,60,0.5880270400256506,15.05,-4.491988169240024,16.725887306998196,0.18492100637959008
Source Verified,25.89,0,36,0.7191193135826452,15.05,6.578011830759976,-7.274112693001804,0.3160132799365847
Source Verified,13.51,0,60,0.12358951731249752,12.62,-5.801988169240024,16.725887306998196,-0.27951651633356306
Not Verified,10.71,1,36,0.14327166230790844,6.72,-8.601988169240023,-7.274112693001804,-0.2598343713381521
Not Verified,2.68,0,36,0.1076440387906446,6.71,-16.631988169240024,-7.274112693001804,-0.29546199485541597
Verified,25.7,0,36,0.46149909590256216,15.05,6.388011830759975,-7.274112693001804,0.05839306225650159
Not Verified,3.64,0,60,0.3078888888888889,9.93,-15.671988169240024,16.725887306998196,-0.09521714475717169
Source Verified,17.24,0,36,0.49471843180716213,10.42,-2.0719881692400257,-7.274112693001804,0.09161239816110156
Verified,18.72,0,60,0.17521082634803392,22.91,-0.5919881692400253,16.725887306998196,-0.22789520729802665
Not Verified,19.64,0,60,0.6120804905034114,30.79,0.3280118307599764,16.725887306998196,0.20897445685735083
Source Verified,9.12,0,60,0.4604659276953219,15.05,-10.191988169240025,16.725887306998196,0.05735989404926134
Source Verified,22.91,0,36,0.2838564144546579,6.07,3.598011830759976,-7.274112693001804,-0.11924961919140264
Not Verified,21.41,0,36,0.18658904623296846,6.07,2.098011830759976,-7.274112693001804,-0.2165169874130921
Source Verified,13.05,0,36,0.03274885145482389,17.47,-6.261988169240023,-7.274112693001804,-0.3703571821912367
Verified,20.16,0,36,0.08277465501442853,7.34,0.848011830759976,-7.274112693001804,-0.320331378631632
Verified,39.08,1,36,0.349383685594291,13.59,19.768011830759974,-7.274112693001804,-0.053722348051769564
Not Verified,14.62,0,36,0.06548760931560225,6.72,-4.691988169240025,-7.274112693001804,-0.3376184243304583
Not Verified,11.64,0,36,0.5616453682064542,5.31,-7.671988169240024,-7.274112693001804,0.1585393345603936
Verified,12.15,1,36,0.22205725753604194,9.93,-7.161988169240024,-7.274112693001804,-0.18104877611001863
Source Verified,12.58,0,36,0.3959785522788204,9.92,-6.731988169240024,-7.274112693001804,-0.007127481367240174
Not Verified,16.73,0,36,0.8359748427672956,9.93,-2.5819881692400237,-7.274112693001804,0.43286880912123504
Verified,28.13,0,60,0.19617933688664893,14.07,8.818011830759975,16.725887306998196,-0.20692669675941164
Source Verified,7.89,0,36,0.4476007161114733,7.97,-11.421988169240024,-7.274112693001804,0.044494682465412716
Not Verified,15.42,0,36,0.11639008709509026,5.31,-3.891988169240024,-7.274112693001804,-0.2867159465509703
Not Verified,32.4,0,60,0.338296458898966,9.93,13.088011830759974,16.725887306998196,-0.06480957474709459
Source Verified,17.28,1,60,0.7669687982958105,14.08,-2.031988169240023,16.725887306998196,0.36386276464975
Not Verified,32.06,0,36,0.16586227161855033,12.61,12.748011830759978,-7.274112693001804,-0.23724376202751024
Source Verified,3.7,0,36,0.42473684210526313,12.62,-15.611988169240025,-7.274112693001804,0.021630808459202566
Source Verified,22.09,0,36,0.8063558354269307,17.47,2.7780118307599757,-7.274112693001804,0.4032498017808701
Source Verified,16.26,0,36,0.34434722542021645,12.62,-3.0519881692400226,-7.274112693001804,-0.05875880822584412
Source Verified,8.72,0,36,0.39836363636363636,6.71,-10.591988169240024,-7.274112693001804,-0.0047423972824242044
Source Verified,16.3,0,60,0.7653458501619183,19.42,-3.0119881692400234,16.725887306998196,0.3622398165158577
Source Verified,16.04,0,36,0.315848131361914,12.62,-3.271988169240025,-7.274112693001804,-0.0872579022841466
Not Verified,28.42,0,60,0.1306987845396812,14.08,9.108011830759978,16.725887306998196,-0.27240724910637937
Verified,21.94,0,36,0.31315985130111523,10.91,2.628011830759977,-7.274112693001804,-0.08994618234494534
Verified,19.22,0,36,0.9889989474746601,17.47,-0.09198816924002529,-7.274112693001804,0.5858929138285995
Verified,37.74,0,36,0.8546401182016464,18.06,18.428011830759978,-7.274112693001804,0.45153408455558586
Verified,15.44,1,36,0.06286774081372436,16.02,-3.8719881692400246,-7.274112693001804,-0.3402382928323362
Verified,18.39,0,36,0.18165806081468733,19.03,-0.9219881692400236,-7.274112693001804,-0.22144797283137324
Source Verified,27.23,1,36,0.41575958502196536,12.62,7.918011830759976,-7.274112693001804,0.012653551375904792
Source Verified,11.14,0,36,0.6810783660301177,6.07,-8.171988169240024,-7.274112693001804,0.27797233238405716
Source Verified,1.56,0,60,0.019068736141906874,9.43,-17.751988169240025,16.725887306998196,-0.3840372975041537
Verified,17.44,0,60,0.167143200247035,10.42,-1.8719881692400229,16.725887306998196,-0.23596283339902557
Not Verified,11.45,1,36,0.19610794684024951,7.96,-7.861988169240025,-7.274112693001804,-0.20699808680581105
Not Verified,21.09,0,60,0.2543458486772865,13.59,1.7780118307599757,16.725887306998196,-0.14876018496877408
Source Verified,34.86,0,60,0.6629795529011654,15.04,15.548011830759975,16.725887306998196,0.2598735192551048
Source Verified,13.77,0,36,0.486594318544526,12.61,-5.541988169240025,-7.274112693001804,0.08348828489846544
Source Verified,9.61,1,36,0.8475410514124995,7.96,-9.701988169240025,-7.274112693001804,0.4444350177664389
Source Verified,24.39,0,60,0.549455766558592,13.58,5.078011830759976,16.725887306998196,0.1463497329125314
Source Verified,5.16,0,60,0.060952790121667474,16.01,-14.151988169240024,16.725887306998196,-0.3421532435243931
Verified,28.53,0,36,0.3902090209020902,22.91,9.218011830759977,-7.274112693001804,-0.01289701274397037
Not Verified,20.74,0,36,0.1250116753323578,7.97,1.4280118307599743,-7.274112693001804,-0.27809435831370277
Not Verified,12.22,1,60,0.4148679245283019,18.06,-7.0919881692400235,16.725887306998196,0.011761890882241333
Not Verified,15.84,0,36,0.13571042068792855,6.08,-3.4719881692400243,-7.274112693001804,-0.267395612958132
Source Verified,3.82,0,36,0.14173514506652668,5.32,-15.491988169240024,-7.274112693001804,-0.2613708885795339
Not Verified,15.48,1,36,0.1718891655034465,5.32,-3.8319881692400237,-7.274112693001804,-0.23121686814261408
Source Verified,14.16,0,36,0.07984946756509581,9.93,-5.151988169240024,-7.274112693001804,-0.32325656608096476
Verified,49.58,1,60,0.6578004318116055,20,30.268011830759974,16.725887306998196,0.25469439816554496
Not Verified,13.27,0,36,0.9213745704467354,15.05,-6.041988169240025,-7.274112693001804,0.5182685368006749
Source Verified,16.72,0,36,0.12613326727768145,7.96,-2.5919881692400253,-7.274112693001804,-0.2769727663683791
Source Verified,18.5,0,60,0.11400197337974753,26.77,-0.8119881692400241,16.725887306998196,-0.289104060266313
Not Verified,15.28,1,60,0.09805050050641247,9.44,-4.031988169240025,16.725887306998196,-0.3050555331396481
Not Verified,19.05,0,36,0.29821326381382335,13.59,-0.26198816924002344,-7.274112693001804,-0.10489276983223722
Source Verified,26.96,0,36,0.4709893992932862,15.04,7.648011830759977,-7.274112693001804,0.06788336564722564
Not Verified,21.63,0,36,0.37504165982115617,5.31,2.318011830759975,-7.274112693001804,-0.0280643738249044
Verified,24.77,0,36,0.7207663432254409,14.08,5.458011830759975,-7.274112693001804,0.3176603095793803
Source Verified,18.36,0,36,0.5553823432884805,13.59,-0.9519881692400247,-7.274112693001804,0.1522763096424199
Not Verified,18.92,0,36,0.4609837650566007,7.97,-0.39198816924002244,-7.274112693001804,0.057877731410540145
Source Verified,14.66,0,60,0.42605751300422023,9.93,-4.651988169240024,16.725887306998196,0.022951479358159665
Source Verified,29.58,0,36,0.11177221436057631,6.08,10.268011830759974,-7.274112693001804,-0.29133381928548424
Not Verified,37.83,0,60,0.655655877342419,21.85,18.518011830759974,16.725887306998196,0.25254984369635847
Source Verified,13.49,0,36,0.7065761204345017,10.42,-5.821988169240024,-7.274112693001804,0.3034700867884411
Source Verified,29.36,0,36,0.7739708603145236,17.47,10.048011830759975,-7.274112693001804,0.370864826668463
Source Verified,1.12,0,36,0.19636690647482014,10.9,-18.191988169240023,-7.274112693001804,-0.20673912717124043
Not Verified,18.67,0,36,0.27735339450250523,6.08,-0.6419881692400224,-7.274112693001804,-0.12575263914355533
Not Verified,25.23,0,36,0.5361731141893347,12.61,5.918011830759976,-7.274112693001804,0.1330670805432741
Verified,27.56,0,36,0.07607769702458154,23.87,8.248011830759975,-7.274112693001804,-0.327028336621479
Verified,26.88,0,36,0.21935900144461637,18.06,7.568011830759975,-7.274112693001804,-0.1837470322014442
Source Verified,21.45,0,60,0.9190001168347789,13.59,2.138011830759975,16.725887306998196,0.5158940831887183
Source Verified,15.3,1,36,0.6162551440329218,16.02,-4.011988169240023,-7.274112693001804,0.21314911038686124
Verified,16.13,0,36,0.32650138302024473,9.93,-3.181988169240025,-7.274112693001804,-0.07660465062581584
Source Verified,2.91,0,36,0.15968354430379747,9.92,-16.401988169240024,-7.274112693001804,-0.2434224893422631
Not Verified,18.55,0,36,0.6559232201690303,7.35,-0.7619881692400234,-7.274112693001804,0.2528171865229697
Source Verified,9.19,0,36,0.12084700376612394,10.91,-10.121988169240025,-7.274112693001804,-0.2822590298799366
Source Verified,8.46,0,60,0.5611691903642494,13.59,-10.851988169240023,16.725887306998196,0.15806315671818882
Source Verified,9.8,1,36,0.39264900662251656,14.07,-9.511988169240023,-7.274112693001804,-0.010457027023544008
Not Verified,11.62,0,36,0.3904081352205579,7.34,-7.691988169240025,-7.274112693001804,-0.012697898425502674
Verified,24.31,0,60,0.14484035895202332,15.05,4.998011830759975,16.725887306998196,-0.2582656746940373
Verified,14.66,0,36,0.2982956192390191,6.72,-4.651988169240024,-7.274112693001804,-0.10481041440704147
Source Verified,22.73,0,36,0.1620431856853761,16.01,3.4180118307599763,-7.274112693001804,-0.24106284796068447
Not Verified,9.91,0,36,0.2183399209486166,7.34,-9.401988169240024,-7.274112693001804,-0.18476611269744397
Not Verified,29.47,1,36,0.9449657240788346,23.88,10.158011830759975,-7.274112693001804,0.541859690432774
Not Verified,27.68,0,36,0.6523313151488671,15.05,8.368011830759976,-7.274112693001804,0.24922528150280654
Not Verified,4.25,0,36,0.2087437185929648,6.72,-15.061988169240024,-7.274112693001804,-0.19436231505309576
Source Verified,16.97,0,36,0.3702055219619456,21.45,-2.3419881692400253,-7.274112693001804,-0.03290051168411495
Verified,19.44,1,60,0.45091501240694787,25.82,0.12801183075997713,16.725887306998196,0.0478089787608873
Not Verified,6.06,0,60,0.6180535714285714,14.08,-13.251988169240025,16.725887306998196,0.21494753778251086
Verified,17.25,1,36,0.736217844816079,15.05,-2.061988169240024,-7.274112693001804,0.3331118111700184
Not Verified,23.33,0,36,0.3263737038865768,9.44,4.018011830759974,-7.274112693001804,-0.07673232975948374
Verified,33.19,0,36,0.7499507146377525,17.09,13.878011830759974,-7.274112693001804,0.34684468099169197
Not Verified,19.93,0,36,0.6549493728275654,16.01,0.6180118307599756,-7.274112693001804,0.2518433391815048
Source Verified,15.31,1,60,0.31962185583253616,10.9,-4.001988169240024,16.725887306998196,-0.08348417781352441
Not Verified,22.88,0,36,0.519415909493032,12.62,3.568011830759975,-7.274112693001804,0.11630987584697139
Verified,14.4,0,60,0.838701091296247,21.45,-4.911988169240024,16.725887306998196,0.43559505765018647
Source Verified,6.11,0,36,0.05640409680403837,10.41,-13.201988169240025,-7.274112693001804,-0.3467019368420222
Not Verified,18.65,0,36,0.4572187853968807,5.32,-0.6619881692400256,-7.274112693001804,0.05411275175082014
Verified,27.08,1,60,0.159419738176231,21.85,7.768011830759974,16.725887306998196,-0.24368629546982956
Not Verified,11.73,1,60,0.5228840478920361,18.06,-7.581988169240024,16.725887306998196,0.11977801424597556
Source Verified,7.82,0,36,0.2446806000823108,5.32,-11.491988169240024,-7.274112693001804,-0.15842543356374977
Source Verified,18.88,0,60,0.7079506610106667,17.09,-0.43198816924002514,16.725887306998196,0.30484462736460616
Source Verified,20.78,0,60,0.13857868874933557,9.93,1.468011830759977,16.725887306998196,-0.264527344896725
Source Verified,19.42,0,36,0.6199521598424089,6.08,0.10801183075997756,-7.274112693001804,0.21684612619634835
Not Verified,0.33,0,36,0.43300843196410616,16.01,-18.981988169240026,-7.274112693001804,0.029902398318045587
Not Verified,8.56,1,60,0.4802242152466368,13.59,-10.751988169240024,16.725887306998196,0.07711818160057621
Source Verified,14.16,0,36,0.5322296647243552,9.92,-5.151988169240024,-7.274112693001804,0.1291236310782946
Source Verified,12.89,0,60,0.1670152901722276,15.04,-6.421988169240024,16.725887306998196,-0.23609074347383296
Not Verified,9.92,0,36,0.06275247788735494,6.71,-9.391988169240024,-7.274112693001804,-0.34035355575870563
Source Verified,7.2,0,36,0.9833333333333333,17.47,-12.111988169240025,-7.274112693001804,0.5802272996872727
Source Verified,27.06,1,36,0.47159598451656815,11.99,7.748011830759975,-7.274112693001804,0.06848995087050758
Source Verified,13.3,0,36,0.49789137380191695,13.59,-6.011988169240023,-7.274112693001804,0.09478534015585638
Not Verified,24.99,0,36,0.3423783752119423,7.35,5.678011830759974,-7.274112693001804,-0.06072765843411826
Source Verified,0.54,0,60,1.656353891840091e-4,10.42,-18.771988169240025,16.725887306998196,-0.40294039825687655
Source Verified,16.72,0,36,0.1290792863844793,7.97,-2.5919881692400253,-7.274112693001804,-0.27402674726158127
Not Verified,10.62,0,60,0.14917166439047563,9.92,-8.691988169240025,16.725887306998196,-0.25393436925558494
Verified,39.34,0,36,0.586285140562249,12.61,20.02801183075998,-7.274112693001804,0.18317910691618844
Not Verified,14.23,0,60,0.3228620702456607,9.93,-5.081988169240024,16.725887306998196,-0.08024396340039985
Not Verified,21.79,0,60,0.14952443741614838,14.07,2.478011830759975,16.725887306998196,-0.25358159622991217
Source Verified,5.96,0,60,0.7413936596807142,14.08,-13.351988169240023,16.725887306998196,0.3382876260346537
Source Verified,22.49,0,60,0.44844712029989775,12.62,3.1780118307599743,16.725887306998196,0.04534108665383718
Source Verified,17.28,0,60,0.18431397413137204,16.02,-2.031988169240023,16.725887306998196,-0.21879205951468852
Not Verified,29.38,0,60,0.251994301994302,14.07,10.068011830759975,16.725887306998196,-0.15111173165175856
Source Verified,24.57,0,36,0.4672568813295248,18.06,5.258011830759976,-7.274112693001804,0.06415084768346424
Not Verified,21.3,0,60,0.47020437139073573,14.08,1.9880118307599766,16.725887306998196,0.06709833774467516
Source Verified,8.63,0,60,0.9173794376972169,16.02,-10.681988169240023,16.725887306998196,0.5142734040511563
Source Verified,8.66,0,60,0.13462446474218076,11.99,-10.651988169240024,16.725887306998196,-0.2684815689038798
Not Verified,26.49,0,36,0.45508966695132363,6.72,7.178011830759974,-7.274112693001804,0.051983633305263066
Source Verified,8.37,1,60,0.7228576651908846,19.03,-10.941988169240025,16.725887306998196,0.319751631544824
Source Verified,11.33,0,36,0.6021656824613317,6.71,-7.981988169240024,-7.274112693001804,0.19905964881527116
Not Verified,15.48,0,36,0.5508769468219448,6.07,-3.8319881692400237,-7.274112693001804,0.1477709131758842
Source Verified,16.95,0,36,0.2509080631823558,7.35,-2.361988169240025,-7.274112693001804,-0.15219797046370476
Not Verified,27.93,1,36,0.5296035068985866,13.59,8.618011830759976,-7.274112693001804,0.12649747325252603
Source Verified,5.87,0,36,0.07321465678465056,13.59,-13.441988169240023,-7.274112693001804,-0.32989137686141
Not Verified,12.42,0,36,0.09668588854720447,5.31,-6.891988169240024,-7.274112693001804,-0.30642014509885607
Source Verified,13.04,0,36,0.6103981907351409,7.97,-6.271988169240025,-7.274112693001804,0.20729215708908033
Source Verified,40.15,1,36,0.25490827164467333,7.35,20.838011830759974,-7.274112693001804,-0.14819776200138723
Verified,11.88,1,36,0.5186715867158671,11.99,-7.431988169240023,-7.274112693001804,0.11556555306980654
Not Verified,25.41,0,36,0.4599359196637863,16.02,6.098011830759976,-7.274112693001804,0.056829886017725706
Source Verified,9.33,1,36,0.6988993143269577,9.93,-9.981988169240024,-7.274112693001804,0.29579328068089716
Not Verified,27.74,0,36,0.5078360741320804,19.42,8.428011830759974,-7.274112693001804,0.10473004048601986
Not Verified,23.01,0,36,0.46592965041234385,7.96,3.6980118307599774,-7.274112693001804,0.06282361676628329
Source Verified,10.83,0,36,0.030311076364047607,13.59,-8.481988169240024,-7.274112693001804,-0.37279495728201295
Verified,39.63,1,36,0.8101272603897572,12.61,20.31801183075998,-7.274112693001804,0.4070212267436967
Verified,18.09,0,36,0.10396620191573389,19.03,-1.2219881692400243,-7.274112693001804,-0.29913983173032666
Source Verified,7.08,0,36,0.32301242236024846,16.01,-12.231988169240024,-7.274112693001804,-0.0800936112858121
Not Verified,2.54,0,36,0.08743589743589744,6.72,-16.771988169240025,-7.274112693001804,-0.31567013621016315
Not Verified,25.33,1,36,0.19714402096639075,6.07,6.018011830759974,-7.274112693001804,-0.20596201267966982
Source Verified,23.92,0,36,0.2282052848124108,15.05,4.6080118307599776,-7.274112693001804,-0.17490074883364976
Source Verified,29.72,0,36,0.6039598806135906,6.07,10.408011830759975,-7.274112693001804,0.20085384696753006
Verified,22.66,0,36,0.291734824546577,13.58,3.348011830759976,-7.274112693001804,-0.11137120909948356
Source Verified,5.68,0,36,0.3431818181818182,10.42,-13.631988169240024,-7.274112693001804,-0.05992421546424237
Source Verified,9.73,0,36,0.89692547285926,11.98,-9.581988169240024,-7.274112693001804,0.4938194392131995
Source Verified,2.78,0,36,0.059588377723970944,9.43,-16.531988169240023,-7.274112693001804,-0.3435176559220896
Not Verified,39.07,0,36,0.692203161053198,16.02,19.758011830759976,-7.274112693001804,0.28909712740713744
Verified,25.43,0,36,0.4261049366761437,18.06,6.118011830759976,-7.274112693001804,0.022998903030083118
Source Verified,2.47,0,60,0.1283728813559322,12.61,-16.841988169240025,16.725887306998196,-0.2747331522901284
Source Verified,22.92,0,60,0.1304918417592032,14.07,3.6080118307599776,16.725887306998196,-0.27261419188685737
Source Verified,27.71,0,36,0.3935997065768058,10.42,8.398011830759977,-7.274112693001804,-0.00950632706925475
Source Verified,14.04,1,36,0.6804988709109366,10.42,-5.271988169240025,-7.274112693001804,0.27739283726487607
Source Verified,11.79,1,60,0.15698238933841027,17.47,-7.521988169240025,16.725887306998196,-0.2461236443076503
Not Verified,30.54,0,60,0.761742006615215,10.91,11.228011830759975,16.725887306998196,0.3586359729691544
Not Verified,18.63,0,36,0.09629388008698353,5.32,-0.6819881692400251,-7.274112693001804,-0.30681215355907704
Not Verified,18.39,0,60,0.1539653467022201,9.44,-0.9219881692400236,16.725887306998196,-0.24914068694384048
Source Verified,27.84,0,36,0.15457438245732563,9.44,8.528011830759976,-7.274112693001804,-0.24853165118873494
Not Verified,9.24,0,36,0.31844589687726943,14.08,-10.071988169240024,-7.274112693001804,-0.08466013676879114
Not Verified,14.31,1,36,0.2114848484848485,7.35,-5.001988169240024,-7.274112693001804,-0.19162118516121207
Not Verified,14.39,0,60,0.32782222222222224,12.62,-4.921988169240024,16.725887306998196,-0.07528381142383833
Verified,22.04,0,36,0.6916078338699672,15.04,2.728011830759975,-7.274112693001804,0.2885018002239066
Source Verified,0,0,60,0,9.92,-19.311988169240024,16.725887306998196,-0.40310603364606057
Verified,15.81,0,60,0.4827934780573946,10.9,-3.5019881692400237,16.725887306998196,0.07968744441133402
Not Verified,27.6,0,36,0.4932884453008292,6.72,8.288011830759977,-7.274112693001804,0.09018241165476865
Verified,29.12,0,36,0.5186835932109839,5.32,9.808011830759977,-7.274112693001804,0.11557755956492333
Verified,7.57,0,60,0.9297153719955209,11.99,-11.741988169240024,16.725887306998196,0.5266093383494603
Source Verified,10.67,0,36,0.06994559159397921,5.32,-8.641988169240024,-7.274112693001804,-0.33316044205208134
Verified,31.61,0,36,0.33400959055699003,10.41,12.298011830759975,-7.274112693001804,-0.06909644308907054
Source Verified,8.7,0,60,0.7211875,14.07,-10.611988169240025,16.725887306998196,0.3180814663539394
Not Verified,15.05,0,36,0.22061006419141427,6.07,-4.261988169240023,-7.274112693001804,-0.1824959694546463
Verified,28.96,0,36,0.6923027561202554,9.93,9.648011830759977,-7.274112693001804,0.2891967224741948
Source Verified,2.28,0,36,0.35609756097560974,11.99,-17.031988169240023,-7.274112693001804,-0.04700847267045083
Verified,12.9,1,36,0.17370369132873728,6.71,-6.411988169240024,-7.274112693001804,-0.2294023423173233
Not Verified,16.57,0,36,0.11604071991933368,5.31,-2.741988169240024,-7.274112693001804,-0.2870653137267269
Not Verified,18.03,0,60,0.40865253742951585,13.59,-1.281988169240023,16.725887306998196,0.005546503783455281
Source Verified,10.92,1,36,0.5315333333333333,10.9,-8.391988169240024,-7.274112693001804,0.12842729968727273
Source Verified,5.59,0,36,0.2607042253521127,12.62,-13.721988169240024,-7.274112693001804,-0.14240180829394788
Not Verified,27.02,0,36,0.9359114015976762,10.42,7.708011830759975,-7.274112693001804,0.5328053679516156
Not Verified,24.38,0,36,0.8114840688362583,15.05,5.068011830759975,-7.274112693001804,0.4083780351901978
Not Verified,11.45,0,36,0.3422586520947177,6.71,-7.861988169240025,-7.274112693001804,-0.060847381551342894
Source Verified,28.8,1,60,0.9211189977424801,21.45,9.488011830759977,16.725887306998196,0.5180129640964195
Source Verified,11.12,0,36,0.2469095423719763,9.44,-8.191988169240025,-7.274112693001804,-0.15619649127408428
Verified,13.47,0,36,0.24058262774587008,11.99,-5.8419881692400235,-7.274112693001804,-0.1625234059001905
Not Verified,16.93,0,36,0.7983736797831573,11.99,-2.3819881692400244,-7.274112693001804,0.39526764613709675
Not Verified,14.43,0,36,0.22024869201967584,6.07,-4.881988169240024,-7.274112693001804,-0.18285734162638473
Source Verified,16.08,0,36,0.5195226103142451,5.31,-3.231988169240026,-7.274112693001804,0.1164165766681845
Source Verified,33.23,0,36,0.18598363245200836,6.07,13.918011830759973,-7.274112693001804,-0.2171224011940522
Source Verified,23.73,1,60,0.8697111388196176,19.42,4.418011830759976,16.725887306998196,0.466605105173557
Verified,14.37,0,60,0.6182948622486969,21.85,-4.941988169240025,16.725887306998196,0.21518882860263633
Verified,21.32,0,36,0.1517029378429726,14.08,2.008011830759976,-7.274112693001804,-0.25140309580308795
Verified,18.66,0,60,0.09257043580876206,18.06,-0.651988169240024,16.725887306998196,-0.3105355978372985
Source Verified,27.2,0,36,0.8154428138330695,10.91,7.888011830759975,-7.274112693001804,0.4123367801870089
Not Verified,24.38,0,60,0.2934475273639755,9.44,5.068011830759975,16.725887306998196,-0.10965850628208507
Verified,17.23,0,60,0.12822946242293998,12.62,-2.0819881692400237,16.725887306998196,-0.2748765712231206
Not Verified,7.75,0,60,0.28861918604651166,9.44,-11.561988169240024,16.725887306998196,-0.11448684759954891
Verified,6.21,0,36,0.14974234560584324,6.08,-13.101988169240023,-7.274112693001804,-0.25336368804021736
Not Verified,26.88,0,36,0.39513039827884766,11.98,7.568011830759975,-7.274112693001804,-0.007975635367212908
Not Verified,19.44,0,36,0.8174884792626728,9.92,0.12801183075997713,-7.274112693001804,0.4143824456166122
Source Verified,19.2,0,36,0.1858873083070016,13.59,-0.11198816924002486,-7.274112693001804,-0.21721872533905898
Not Verified,16.31,1,36,0.6356608572538308,10.41,-3.0019881692400254,-7.274112693001804,0.23255482360777024
Verified,42.64,0,60,0.19383566151669218,9.93,23.328011830759976,16.725887306998196,-0.2092703721293684
